序号,所在目录,标题,标题末尾,标题链接,标题链接末尾路径,标签,网站题解链接,github 题解链接,通过率,难度,题解数目
1706,1700-1799,1706. 球会落何处,球会落何处,https://leetcode.com/problems/where-will-the-ball-fall/,where-will-the-ball-fall,深度优先搜索、数组、动态规划、矩阵、模拟,https://2xiao.github.io/fe/leetcode/problem/1706,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1706.md,69.1%,中等,692
1707,1700-1799,1707. 与数组中元素的最大异或值,与数组中元素的最大异或值,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/,maximum-xor-with-an-element-from-array,位运算、字典树、数组,https://2xiao.github.io/fe/leetcode/problem/1707,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1707.md,50.9%,困难,176
1708,1700-1799,1708. 长度为 K 的最大子数组,长度为 K 的最大子数组,https://leetcode.com/problems/largest-subarray-length-k/,largest-subarray-length-k,贪心、数组,https://2xiao.github.io/fe/leetcode/problem/1708,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1708.md,66.9%,简单,52
1709,1700-1799,1709. 访问日期之间最大的空档期,访问日期之间最大的空档期,https://leetcode.com/problems/biggest-window-between-visits/,biggest-window-between-visits,数据库,https://2xiao.github.io/fe/leetcode/problem/1709,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1709.md,69.0%,中等,82
1710,1700-1799,1710. 卡车上的最大单元数,卡车上的最大单元数,https://leetcode.com/problems/maximum-units-on-a-truck/,maximum-units-on-a-truck,贪心、数组、排序,https://2xiao.github.io/fe/leetcode/problem/1710,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1710.md,73.4%,简单,583
1711,1700-1799,1711. 大餐计数,大餐计数,https://leetcode.com/problems/count-good-meals/,count-good-meals,数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/1711,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1711.md,36.0%,中等,389
1712,1700-1799,1712. 将数组分成三个子数组的方案数,将数组分成三个子数组的方案数,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays/,ways-to-split-array-into-three-subarrays,数组、双指针、二分查找、前缀和,https://2xiao.github.io/fe/leetcode/problem/1712,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1712.md,28.5%,中等,175
1713,1700-1799,1713. 得到子序列的最少操作次数,得到子序列的最少操作次数,https://leetcode.com/problems/minimum-operations-to-make-a-subsequence/,minimum-operations-to-make-a-subsequence,贪心、数组、哈希表、二分查找,https://2xiao.github.io/fe/leetcode/problem/1713,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1713.md,49.9%,困难,198
1714,1700-1799,1714. 数组中特殊等间距元素的和,数组中特殊等间距元素的和,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array/,sum-of-special-evenly-spaced-elements-in-array,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/1714,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1714.md,59.6%,困难,14
1715,1700-1799,1715. 苹果和橘子的个数,苹果和橘子的个数,https://leetcode.com/problems/count-apples-and-oranges/,count-apples-and-oranges,数据库,https://2xiao.github.io/fe/leetcode/problem/1715,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1715.md,71.7%,中等,57
1716,1700-1799,1716. 计算力扣银行的钱,计算力扣银行的钱,https://leetcode.com/problems/calculate-money-in-leetcode-bank/,calculate-money-in-leetcode-bank,数学,https://2xiao.github.io/fe/leetcode/problem/1716,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1716.md,69.1%,简单,748
1717,1700-1799,1717. 删除子字符串的最大得分,删除子字符串的最大得分,https://leetcode.com/problems/maximum-score-from-removing-substrings/,maximum-score-from-removing-substrings,栈、贪心、字符串,https://2xiao.github.io/fe/leetcode/problem/1717,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1717.md,46.1%,中等,85
1718,1700-1799,1718. 构建字典序最大的可行序列,构建字典序最大的可行序列,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/,construct-the-lexicographically-largest-valid-sequence,数组、回溯,https://2xiao.github.io/fe/leetcode/problem/1718,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1718.md,50.9%,中等,79
1719,1700-1799,1719. 重构一棵树的方案数,重构一棵树的方案数,https://leetcode.com/problems/number-of-ways-to-reconstruct-a-tree/,number-of-ways-to-reconstruct-a-tree,树、图,https://2xiao.github.io/fe/leetcode/problem/1719,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1719.md,69.0%,困难,93
1720,1700-1799,1720. 解码异或后的数组,解码异或后的数组,https://leetcode.com/problems/decode-xored-array/,decode-xored-array,位运算、数组,https://2xiao.github.io/fe/leetcode/problem/1720,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1720.md,86.0%,简单,598
1721,1700-1799,1721. 交换链表中的节点,交换链表中的节点,https://leetcode.com/problems/swapping-nodes-in-a-linked-list/,swapping-nodes-in-a-linked-list,链表、双指针,https://2xiao.github.io/fe/leetcode/problem/1721,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1721.md,63.8%,中等,301
1722,1700-1799,1722. 执行交换操作后的最小汉明距离,执行交换操作后的最小汉明距离,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations/,minimize-hamming-distance-after-swap-operations,深度优先搜索、并查集、数组,https://2xiao.github.io/fe/leetcode/problem/1722,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1722.md,51.0%,中等,149
1723,1700-1799,1723. 完成所有工作的最短时间,完成所有工作的最短时间,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs/,find-minimum-time-to-finish-all-jobs,位运算、数组、动态规划、回溯、状态压缩,https://2xiao.github.io/fe/leetcode/problem/1723,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1723.md,50.9%,困难,223
1724,1700-1799,1724. 检查边长度限制的路径是否存在 II,检查边长度限制的路径是否存在 II,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii/,checking-existence-of-edge-length-limited-paths-ii,并查集、图、最小生成树,https://2xiao.github.io/fe/leetcode/problem/1724,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1724.md,58.5%,困难,22
1725,1700-1799,1725. 可以形成最大正方形的矩形数目,可以形成最大正方形的矩形数目,https://leetcode.com/problems/number-of-rectangles-that-can-form-the-largest-square/,number-of-rectangles-that-can-form-the-largest-square,数组,https://2xiao.github.io/fe/leetcode/problem/1725,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1725.md,82.8%,简单,485
1726,1700-1799,1726. 同积元组,同积元组,https://leetcode.com/problems/tuple-with-same-product/,tuple-with-same-product,数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/1726,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1726.md,52.2%,中等,143
1727,1700-1799,1727. 重新排列后的最大子矩阵,重新排列后的最大子矩阵,https://leetcode.com/problems/largest-submatrix-with-rearrangements/,largest-submatrix-with-rearrangements,贪心、数组、矩阵、排序,https://2xiao.github.io/fe/leetcode/problem/1727,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1727.md,59.2%,中等,94
1728,1700-1799,1728. 猫和老鼠 II,猫和老鼠 II,https://leetcode.com/problems/cat-and-mouse-ii/,cat-and-mouse-ii,图、拓扑排序、记忆化搜索、数组、数学、动态规划、博弈、矩阵,https://2xiao.github.io/fe/leetcode/problem/1728,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1728.md,64.1%,困难,83
1729,1700-1799,1729. 求关注者的数量,求关注者的数量,https://leetcode.com/problems/find-followers-count/,find-followers-count,数据库,https://2xiao.github.io/fe/leetcode/problem/1729,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1729.md,61.6%,简单,138
1730,1700-1799,1730. 获取食物的最短路径,获取食物的最短路径,https://leetcode.com/problems/shortest-path-to-get-food/,shortest-path-to-get-food,广度优先搜索、数组、矩阵,https://2xiao.github.io/fe/leetcode/problem/1730,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1730.md,52.7%,中等,41
1731,1700-1799,1731. 每位经理的下属员工数量,每位经理的下属员工数量,https://leetcode.com/problems/the-number-of-employees-which-report-to-each-employee/,the-number-of-employees-which-report-to-each-employee,数据库,https://2xiao.github.io/fe/leetcode/problem/1731,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1731.md,47.0%,简单,103
1732,1700-1799,1732. 找到最高海拔,找到最高海拔,https://leetcode.com/problems/find-the-highest-altitude/,find-the-highest-altitude,数组、前缀和,https://2xiao.github.io/fe/leetcode/problem/1732,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1732.md,81.3%,简单,556
1733,1700-1799,1733. 需要教语言的最少人数,需要教语言的最少人数,https://leetcode.com/problems/minimum-number-of-people-to-teach/,minimum-number-of-people-to-teach,贪心、数组,https://2xiao.github.io/fe/leetcode/problem/1733,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1733.md,48.5%,中等,76
1734,1700-1799,1734. 解码异或后的排列,解码异或后的排列,https://leetcode.com/problems/decode-xored-permutation/,decode-xored-permutation,位运算、数组,https://2xiao.github.io/fe/leetcode/problem/1734,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1734.md,72.4%,中等,385
1735,1700-1799,1735. 生成乘积数组的方案数,生成乘积数组的方案数,https://leetcode.com/problems/count-ways-to-make-array-with-product/,count-ways-to-make-array-with-product,数组、数学、动态规划、组合数学、数论,https://2xiao.github.io/fe/leetcode/problem/1735,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1735.md,52.2%,困难,50
1736,1700-1799,1736. 替换隐藏数字得到的最晚时间,替换隐藏数字得到的最晚时间,https://leetcode.com/problems/latest-time-by-replacing-hidden-digits/,latest-time-by-replacing-hidden-digits,贪心、字符串,https://2xiao.github.io/fe/leetcode/problem/1736,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1736.md,44.5%,简单,421
1737,1700-1799,1737. 满足三条件之一需改变的最少字符数,满足三条件之一需改变的最少字符数,https://leetcode.com/problems/change-minimum-characters-to-satisfy-one-of-three-conditions/,change-minimum-characters-to-satisfy-one-of-three-conditions,哈希表、字符串、计数、前缀和,https://2xiao.github.io/fe/leetcode/problem/1737,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1737.md,35.8%,中等,130
1738,1700-1799,1738. 找出第 K 大的异或坐标值,找出第 K 大的异或坐标值,https://leetcode.com/problems/find-kth-largest-xor-coordinate-value/,find-kth-largest-xor-coordinate-value,位运算、数组、分治、矩阵、前缀和、快速选择、堆（优先队列）,https://2xiao.github.io/fe/leetcode/problem/1738,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1738.md,65.1%,中等,431
1739,1700-1799,1739. 放置盒子,放置盒子,https://leetcode.com/problems/building-boxes/,building-boxes,贪心、数学、二分查找,https://2xiao.github.io/fe/leetcode/problem/1739,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1739.md,64.4%,困难,133
1740,1700-1799,1740. 找到二叉树中的距离,找到二叉树中的距离,https://leetcode.com/problems/find-distance-in-a-binary-tree/,find-distance-in-a-binary-tree,树、深度优先搜索、广度优先搜索、哈希表、二叉树,https://2xiao.github.io/fe/leetcode/problem/1740,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1740.md,67.1%,中等,55
1741,1700-1799,1741. 查找每个员工花费的总时间,查找每个员工花费的总时间,https://leetcode.com/problems/find-total-time-spent-by-each-employee/,find-total-time-spent-by-each-employee,数据库,https://2xiao.github.io/fe/leetcode/problem/1741,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1741.md,84.6%,简单,177
1742,1700-1799,1742. 盒子中小球的最大数量,盒子中小球的最大数量,https://leetcode.com/problems/maximum-number-of-balls-in-a-box/,maximum-number-of-balls-in-a-box,哈希表、数学、计数,https://2xiao.github.io/fe/leetcode/problem/1742,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1742.md,75.8%,简单,390
1743,1700-1799,1743. 从相邻元素对还原数组,从相邻元素对还原数组,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs/,restore-the-array-from-adjacent-pairs,数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/1743,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1743.md,69.6%,中等,357
1744,1700-1799,1744. 你能在你最喜欢的那天吃到你最喜欢的糖果吗？,你能在你最喜欢的那天吃到你最喜欢的糖果吗？,https://leetcode.com/problems/can-you-eat-your-favorite-candy-on-your-favorite-day/,can-you-eat-your-favorite-candy-on-your-favorite-day,数组、前缀和,https://2xiao.github.io/fe/leetcode/problem/1744,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1744.md,36.4%,中等,392
1745,1700-1799,1745. 回文串分割 IV,回文串分割 IV,https://leetcode.com/problems/palindrome-partitioning-iv/,palindrome-partitioning-iv,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/1745,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1745.md,50.6%,困难,108
1746,1700-1799,1746. 经过一次操作后的最大子数组和,经过一次操作后的最大子数组和,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation/,maximum-subarray-sum-after-one-operation,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/1746,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1746.md,60.6%,中等,77
1747,1700-1799,1747. 应该被禁止的 Leetflex 账户,应该被禁止的 Leetflex 账户,https://leetcode.com/problems/leetflex-banned-accounts/,leetflex-banned-accounts,数据库,https://2xiao.github.io/fe/leetcode/problem/1747,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1747.md,65.5%,中等,87
1748,1700-1799,1748. 唯一元素的和,唯一元素的和,https://leetcode.com/problems/sum-of-unique-elements/,sum-of-unique-elements,数组、哈希表、计数,https://2xiao.github.io/fe/leetcode/problem/1748,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1748.md,76.8%,简单,645
1749,1700-1799,1749. 任意子数组和的绝对值的最大值,任意子数组和的绝对值的最大值,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/,maximum-absolute-sum-of-any-subarray,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/1749,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1749.md,54.4%,中等,147
1750,1700-1799,1750. 删除字符串两端相同字符后的最短长度,删除字符串两端相同字符后的最短长度,https://leetcode.com/problems/minimum-length-of-string-after-deleting-similar-ends/,minimum-length-of-string-after-deleting-similar-ends,双指针、字符串,https://2xiao.github.io/fe/leetcode/problem/1750,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/1750.md,50.6%,中等,294
